
Activity Table
RecID","MultiSportSessionRecID","NextSportRecID","StartTime","Sport","TotalTimeSeconds","DistanceMeters","VirtualPartner","PlanName","PlanType","IntervalWorkout","Notes","Creator","
1","","","2011-03-20T19:43:32Z","Biking","","","","""","","","""",""Forerunner305"","
2","","","2011-03-26T14:57:43Z","Running","","","","""","","","""",""Forerunner305"","
3","","","2011-03-13T22:25:59Z","Running","","","","""","","","""",""Forerunner305"","
4","","","2011-03-30T14:01:21Z","Running","","","","""","","","""",""Forerunner305"","
5","","","2011-03-08T14:53:11Z","Running","","","","""","","","""",""Forerunner305"","
6","","","2011-03-11T14:37:24Z","Running","","","","""","","","""",""Forerunner305"","
7","","","2011-03-15T13:41:34Z","Running","","","","""","","","""",""Forerunner305"","
8","","","2011-03-17T13:46:53Z","Running","","","","""","","","""",""Forerunner305"","
9","","","2011-03-28T14:03:39Z","Running","","","","""","","","""",""Forerunner305"","
10","","","2011-03-25T13:39:27Z","Running","","","","""","","","""",""Forerunner305"","
11","","","2011-03-24T14:23:02Z","Running","","","","""","","","""",""Forerunner305"","
12","","","2011-03-11T14:36:54Z","Running","","","","""","","","""",""Forerunner305"","
13","","","2011-03-09T15:09:07Z","Running","","","","""","","","""",""Forerunner305"","
14","","","2011-03-04T16:46:33Z","Running","","","","""","","","""",""Forerunner305"","
15","","","2011-03-03T13:23:53Z","Running","","","","""","","","""",""Forerunner305"","
16","","","2011-03-19T13:57:43Z","Running","","","","""","","","""",""Forerunner305"","
17","1","","2011-03-22T13:52:46Z","Biking","","","","""","","","""",""Forerunner305"","
18","","1","2011-03-22T13:54:20Z","Running","","","","""","","","""",""Forerunner305"","

MultiSportSession Table
RecID","StartTime","Notes","
1","2011-03-22T13:52:46Z","""","

NextSport Table
RecID","MultiSportSessionRecID","
1","1","

ActivityLap Table
RecID","ActivityRecID","NextSportRecID","StartTime","TotalTimeSeconds","DistanceMeters","MaximumSpeed","Calories","AverageHeartRateBpm","MaximumHeartRateBpm","Intensity","AverageCadence","TriggerMethod","Notes","
68","15","","2011-03-03T13:58:21Z","4.1300000","12.1713867","3.9966671","1","178","178","Active","","Manual","""","
69","16","","2011-03-19T13:57:43Z","589.3800000","1609.3439941","3.4654162","202","136","164","Active","","Distance","""","
70","16","","2011-03-19T14:08:12Z","580.2200000","1609.3439941","3.5387502","250","140","153","Active","","Distance","""","
71","16","","2011-03-19T14:18:36Z","571.4900000","1609.3439941","3.2975001","211","141","154","Active","","Distance","""","
72","16","","2011-03-19T14:29:09Z","568.8500000","1609.3439941","3.3191667","210","154","160","Active","","Distance","""","
73","16","","2011-03-19T14:38:38Z","541.0200000","1609.3439941","3.2304165","231","154","160","Active","","Distance","""","
74","16","","2011-03-19T14:48:15Z","677.1400000","1609.3439941","2.8695836","285","159","169","Active","","Distance","""","
75","16","","2011-03-19T14:59:47Z","548.6200000","1609.3439941","3.4729166","194","151","161","Active","","Distance","""","
76","16","","2011-03-19T15:08:55Z","549.8000000","1609.3439941","3.4766669","225","155","163","Active","","Distance","""","
77","16","","2011-03-19T15:18:05Z","401.1900000","1248.6796875","3.5133333","168","161","176","Active","","Manual","""","
78","17","","2011-03-22T13:52:46Z","74.0500000","189.1688232","3.0558331","4","99","113","Active","","Manual","""","
79","18","","2011-03-22T13:54:20Z","553.9800000","1609.3439941","3.5570831","178","132","158","Active","","Distance","""","
80","18","","2011-03-22T14:03:58Z","531.7400000","1609.3439941","5.0075002","251","146","159","Active","","Distance","""","
81","18","","2011-03-22T14:13:29Z","477.6300000","1609.3439941","3.8475003","192","160","167","Active","","Distance","""","
82","18","","2011-03-22T14:21:26Z","486.2000000","1422.0292969","3.7820833","198","167","171","Active","","Manual","""","

Track Table
RecID","ActivityLapRecID","CourseRecID","
1","1","","
2","1","","
3","1","","
4","1","","
5","1","","
6","1","","
7","1","","
8","1","","
9","1","","
10","1","","
11","1","","
12","2","","
13","2","","
14","2","","
15","3","","
16","4","","
17","5","","
18","6","","
19","7","","
20","8","","
21","8","","
22","9","","
23","9","","
24","9","","
25","10","","
26","10","","
27","11","","
28","12","","
29","13","","
30","14","","
31","14","","
32","15","","
33","16","","
34","17","","
35","18","","
36","19","","
37","20","","
38","20","","
39","21","","
40","22","","
41","23","","
42","24","","
43","24","","
44","25","","
45","26","","
46","26","","
47","26","","
48","27","","
49","27","","
50","27","","
51","28","","
52","29","","
53","30","","
54","30","","
55","31","","
56","32","","
57","32","","
58","32","","
59","32","","
60","33","","
61","34","","
62","35","","
63","36","","
64","36","","
65","37","","
66","37","","
67","38","","
68","39","","
69","40","","
70","41","","
71","42","","
72","43","","
73","44","","
74","45","","
75","46","","
76","47","","
77","48","","
78","49","","
79","50","","
80","50","","
81","51","","
82","52","","
83","53","","
84","54","","
85","55","","
86","55","","
87","56","","
88","56","","
89","56","","
90","56","","
91","57","","
92","58","","
93","59","","
94","59","","
95","59","","
96","59","","
97","60","","
98","60","","
99","60","","
100","61","","
101","61","","
102","61","","
103","61","","
104","61","","
105","61","","
106","62","","
107","62","","
108","62","","
109","63","","
110","64","","
111","65","","
112","65","","
113","66","","
114","66","","
115","67","","
116","68","","
117","69","","
118","69","","
119","70","","
120","70","","
121","71","","
122","71","","
123","71","","
124","72","","
125","73","","
126","73","","
127","74","","
128","74","","
129","74","","
130","75","","
131","76","","
132","77","","
133","78","","
134","79","","
135","79","","
136","80","","
137","80","","
138","81","","
139","82","","
140","82","","

TrackPoint Table
TrackRecID","Time","Latitude","Longitude","AltitudeMeters","DistanceMeters","HeartRateBpm","Cadence","SensorState","
1","2011-03-20T19:43:33Z","47.5861392","-122.2449491","86.6560059","4.2988410","84","","Absent","
1","2011-03-20T19:43:35Z","47.5861759","-122.2449226","86.6560059","8.9051056","85","","Absent","
1","2011-03-20T19:43:40Z","47.5862628","-122.2448669","86.6560059","19.2859306","87","","Absent","
1","2011-03-20T19:43:46Z","47.5864302","-122.2449065","84.7333984","38.4443588","87","","Absent","
1","2011-03-20T19:43:51Z","47.5866202","-122.2449854","82.3300781","60.6556854","88","","Absent","
